Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
BRONX,3,2017,Never ELL,11474,300,4132,36,3700,32.2,3242,28.3,400,3.5,3642,31.7
BRONX,3,2018,Ever ELL,918,604,64,7,318,34.6,476,51.9,60,6.5,536,58.4
BRONX,3,2018,Current ELL,2936,582,1407,47.9,1119,38.1,394,13.4,16,0.5,410,14
BRONX,3,2018,Never ELL,10933,596,2487,22.7,3982,36.4,4004,36.6,460,4.2,4464,40.8
BRONX,4,2014,Ever ELL,1294,299,365,28.2,616,47.6,246,19,67,5.2,313,24.2
BRONX,4,2014,Current ELL,2572,264,1915,74.5,568,22.1,85,3.3,4,0.2,89,3.5
BRONX,4,2014,Never ELL,10920,291,4347,39.8,4313,39.5,1754,16.1,506,4.6,2260,20.7
BRONX,4,2015,Ever ELL,1597,297,477,29.9,754,47.2,303,19,63,3.9,366,22.9
BRONX,4,2015,Current ELL,2442,263,1749,71.6,606,24.8,79,3.2,8,0.3,87,3.6
BRONX,4,2015,Never ELL,11389,290,4463,39.2,4600,40.4,1741,15.3,585,5.1,2326,20.4
BRONX,4,2016,Ever ELL,1541,308,264,17.1,689,44.7,452,29.3,136,8.8,588,38.2
BRONX,4,2016,Current ELL,2383,274,1544,64.8,720,30.2,107,4.5,12,0.5,119,5
BRONX,4,2016,Never ELL,11241,300,3241,28.8,4545,40.4,2492,22.2,963,8.6,3455,30.7
BRONX,4,2017,Ever ELL,1309,310,201,15.4,587,44.8,372,28.4,149,11.4,521,39.8
BRONX,4,2017,Current ELL,2434,272,1531,62.9,768,31.6,130,5.3,5,0.2,135,5.5
BRONX,4,2017,Never ELL,11330,300,3223,28.4,4519,39.9,2513,22.2,1075,9.5,3588,31.7
BRONX,4,2018,Ever ELL,1146,604,95,8.3,419,36.6,436,38,196,17.1,632,55.1
BRONX,4,2018,Current ELL,2608,580,1446,55.4,955,36.6,183,7,24,0.9,207,7.9
BRONX,4,2018,Never ELL,11018,595,2740,24.9,4110,37.3,2842,25.8,1326,12,4168,37.8
BRONX,5,2014,Ever ELL,1904,297,660,34.7,871,45.7,306,16.1,67,3.5,373,19.6
BRONX,5,2014,Current ELL,2345,259,1949,83.1,370,15.8,26,1.1,0,0,26,1.1
BRONX,5,2014,Never ELL,10294,290,4637,45,3821,37.1,1415,13.7,421,4.1,1836,17.8
BRONX,5,2015,Ever ELL,1738,298,549,31.6,835,48,273,15.7,81,4.7,354,20.4
BRONX,5,2015,Current ELL,2229,258,1815,81.4,378,17,33,1.5,3,0.1,36,1.6
BRONX,5,2015,Never ELL,10321,291,4461,43.2,3945,38.2,1441,14,474,4.6,1915,18.6
BRONX,5,2016,Ever ELL,2025,298,682,33.7,841,41.5,411,20.3,91,4.5,502,24.8
BRONX,5,2016,Current ELL,2127,254,1848,86.9,254,11.9,24,1.1,1,0,25,1.2
BRONX,5,2016,Never ELL,10881,291,4691,43.1,3653,33.6,1948,17.9,589,5.4,2537,23.3
BRONX,5,2017,Ever ELL,1762,301,525,29.8,721,40.9,390,22.1,126,7.2,516,29.3
BRONX,5,2017,Current ELL,2279,258,1874,82.2,365,16,36,1.6,4,0.2,40,1.8
BRONX,5,2017,Never ELL,10791,294,4400,40.8,3611,33.5,1959,18.2,821,7.6,2780,25.8
BRONX,5,2018,Ever ELL,1630,602,397,24.4,681,41.8,384,23.6,168,10.3,552,33.9
BRONX,5,2018,Current ELL,2382,577,1988,83.5,338,14.2,49,2.1,7,0.3,56,2.4
BRONX,5,2018,Never ELL,10922,596,4391,40.2,3530,32.3,2071,19,930,8.5,3001,27.5
